,individu_id,date,activite,duree,unite,poids_kg,calories
0,1001,2025-01-01,velo,15.73,min,74.7,134.3
1,1001,2025-01-02,course,56.67,min,74.7,731.2
2,1001,2025-01-03,course,75.6,min,74.7,966.9
3,1001,2025-01-04,natation,39.72,min,74.7,437.7
4,1001,2025-01-05,velo,37.32,min,74.7,336.3
5,1001,2025-01-06,course,72.0,min,74.7,987.5
6,1001,2025-01-07,course,46.75,min,74.7,612.4
7,1001,2025-01-08,course,23.14,min,74.7,287.2
8,1001,2025-01-09,course,59.52,min,74.7,634.6
9,1001,2025-01-10,velo,39.77,min,74.7,372.1
10,1001,2025-01-11,natation,69.0,min,74.7,731.8
11,1001,2025-01-12,velo,51.85,min,74.7,475.0
12,1001,2025-01-13,velo,60.0,min,74.7,619.2
13,1001,2025-01-14,course,19.69,min,74.7,215.9
14,1001,2025-01-15,natation,64.49,min,74.7,650.8
15,1001,2025-01-16,course,57.6,min,74.7,610.9
16,1001,2025-01-17,course,37.06,min,74.7,486.1
17,1001,2025-01-18,course,84.6,min,74.7,1173.1
18,1001,2025-01-19,velo,39.15,min,74.7,331.2
19,1001,2025-01-20,natation,57.57,min,74.7,722.7
20,1001,2025-01-21,velo,32.81,min,74.7,308.5
21,1001,2025-01-22,natation,41.4,min,74.7,360.3
22,1001,2025-01-23,velo,59.74,min,74.7,556.8
23,1001,2025-01-24,velo,57.58,min,74.7,513.8
24,1001,2025-01-25,velo,51.69,min,74.7,484.0
25,1001,2025-01-26,natation,43.22,min,74.7,465.2
26,1001,2025-01-27,velo,87.6,min,74.7,875.5
27,1001,2025-01-28,course,53.4,min,74.7,780.2
28,1001,2025-01-29,course,44.92,min,74.7,566.4
29,1001,2025-01-30,course,59.4,min,74.7,694.0
30,1001,2025-01-31,natation,45.46,min,74.7,452.7
31,1001,2025-02-01,velo,34.56,min,74.7,331.5
32,1001,2025-02-02,course,82.76,min,74.7,1260.0
33,1001,2025-02-03,velo,81.60000000000001,min,74.7,743.1
34,1001,2025-02-04,velo,78.17,min,74.7,726.2
35,1001,2025-02-05,velo,76.94,min,74.7,657.6
36,1001,2025-02-06,course,50.12,min,74.7,753.6
37,1001,2025-02-07,natation,42.99,min,74.7,388.0
38,1001,2025-02-08,course,47.33,min,74.7,628.1
39,1001,2025-02-09,velo,110.4,min,74.7,1312.7
40,1001,2025-02-10,course,28.31,min,74.7,406.2
41,1001,2025-02-11,course,28.34,min,74.7,346.2
42,1001,2025-02-12,velo,47.29,min,74.7,532.2
43,1001,2025-02-13,velo,28.2,min,74.7,287.5
44,1001,2025-02-14,course,29.21,min,74.7,361.9
45,1001,2025-02-15,velo,71.16,min,74.7,728.7
46,1001,2025-02-16,velo,27.33,min,74.7,289.0
47,1001,2025-02-17,velo,31.8,min,74.7,308.9
48,1001,2025-02-18,velo,29.79,min,74.7,293.2
49,1001,2025-02-19,velo,54.13,min,74.7,409.4
50,1001,2025-02-20,velo,36.13,min,74.7,375.4
51,1001,2025-02-21,velo,57.21,min,74.7,621.2
52,1001,2025-02-22,course,42.71,min,74.7,568.5
53,1001,2025-02-23,course,32.67,min,74.7,427.2
54,1001,2025-02-24,natation,53.31,min,74.7,687.7
55,1001,2025-02-25,velo,83.39999999999999,min,74.7,688.5
56,1001,2025-02-26,velo,49.14,min,74.7,414.0
57,1001,2025-02-27,course,62.400000000000006,min,74.7,861.9
58,1001,2025-02-28,course,57.31,min,74.7,705.7
59,1001,2025-03-01,velo,25.55,min,74.7,213.5
60,1002,2025-01-01,natation,64.92,min,78.7,710.7
61,1002,2025-01-02,velo,36.08,min,78.7,317.7
62,1002,2025-01-03,velo,50.89,min,78.7,471.3
63,1002,2025-01-04,velo,50.4,min,78.7,465.1
64,1002,2025-01-05,velo,84.0,min,78.7,836.1
65,1002,2025-01-06,velo,57.599999999999994,min,78.7,616.5
66,1002,2025-01-07,course,32.32,min,78.7,450.9
67,1002,2025-01-08,velo,28.24,min,78.7,278.5
68,1002,2025-01-09,course,38.89,min,78.7,510.3
69,1002,2025-01-10,velo,45.1,min,78.7,587.1
70,1002,2025-01-11,natation,42.44,min,78.7,431.4
71,1002,2025-01-12,velo,79.80000000000001,min,78.7,852.1
72,1002,2025-01-13,course,39.97,min,78.7,432.3
73,1002,2025-01-14,course,18.0,min,78.7,229.9
74,1002,2025-01-15,course,40.54,min,78.7,552.9
75,1002,2025-01-16,velo,76.2,min,78.7,915.4
76,1002,2025-01-17,natation,38.36,min,78.7,484.4
77,1002,2025-01-18,velo,52.2,min,78.7,560.9
78,1002,2025-01-19,velo,33.2,min,78.7,285.3
79,1002,2025-01-20,velo,48.05,min,78.7,446.5
80,1002,2025-01-21,natation,75.53,min,78.7,825.4
81,1002,2025-01-22,natation,37.29,min,78.7,374.6
82,1002,2025-01-23,velo,56.09,min,78.7,570.5
83,1002,2025-01-24,course,64.80000000000001,min,78.7,795.4
84,1002,2025-01-25,velo,50.45,min,78.7,395.8
85,1002,2025-01-26,natation,27.35,min,78.7,276.3
86,1002,2025-01-27,natation,20.22,min,78.7,194.4
87,1002,2025-01-28,natation,52.73,min,78.7,547.7
88,1002,2025-01-29,natation,51.72,min,78.7,474.1
89,1002,2025-01-30,velo,32.9,min,78.7,296.4
90,1002,2025-01-31,course,45.48,min,78.7,630.7
91,1002,2025-02-01,velo,29.39,min,78.7,230.5
92,1002,2025-02-02,course,40.71,min,78.7,539.3
93,1002,2025-02-03,course,75.79,min,78.7,1041.1
94,1002,2025-02-04,velo,19.04,min,78.7,200.0
95,1002,2025-02-05,course,70.8,min,78.7,983.5
96,1002,2025-02-06,course,44.74,min,78.7,549.6
97,1002,2025-02-07,course,37.16,min,78.7,373.1
98,1002,2025-02-08,course,50.24,min,78.7,840.1
99,1002,2025-02-09,velo,63.78,min,78.7,624.8
100,1002,2025-02-10,velo,67.48,min,78.7,665.4
101,1002,2025-02-11,course,46.2,min,78.7,476.2
102,1002,2025-02-12,velo,41.4,min,78.7,425.9
103,1002,2025-02-13,course,54.71,min,78.7,737.9
104,1002,2025-02-14,course,21.55,min,78.7,311.0
105,1002,2025-02-15,course,33.0,min,78.7,405.3
106,1002,2025-02-16,course,51.72,min,78.7,702.5
107,1002,2025-02-17,course,30.6,min,78.7,322.9
108,1002,2025-02-18,velo,76.8,min,78.7,935.9
109,1002,2025-02-19,natation,29.77,min,78.7,395.5
110,1002,2025-02-20,natation,51.64,min,78.7,640.4
111,1002,2025-02-21,course,46.25,min,78.7,589.9
112,1002,2025-02-22,velo,65.26,min,78.7,675.3
113,1002,2025-02-23,course,44.23,min,78.7,592.6
114,1002,2025-02-24,course,41.96,min,78.7,505.3
115,1002,2025-02-25,velo,18.2,min,78.7,185.8
116,1002,2025-02-26,natation,28.74,min,78.7,327.8
117,1002,2025-02-27,velo,40.21,min,78.7,424.6
118,1002,2025-02-28,velo,65.4,min,78.7,650.8
119,1002,2025-03-01,natation,39.0,min,78.7,339.7
120,1003,2025-01-01,velo,50.94,min,72.3,558.7
121,1003,2025-01-02,natation,85.8,min,72.3,1026.5
122,1003,2025-01-03,course,46.97,min,72.3,603.5
123,1003,2025-01-04,velo,37.65,min,72.3,389.7
124,1003,2025-01-05,course,15.95,min,72.3,210.8
125,1003,2025-01-06,velo,57.47,min,72.3,472.0
126,1003,2025-01-07,course,45.95,min,72.3,461.8
127,1003,2025-01-08,course,48.38,min,72.3,656.6
128,1003,2025-01-09,course,38.53,min,72.3,358.1
129,1003,2025-01-10,velo,40.32,min,72.3,422.7
130,1003,2025-01-11,course,46.54,min,72.3,568.4
131,1003,2025-01-12,course,61.2,min,72.3,677.6
132,1003,2025-01-13,velo,62.36,min,72.3,676.6
133,1003,2025-01-14,course,46.79,min,72.3,546.8
134,1003,2025-01-15,velo,46.14,min,72.3,437.9
135,1003,2025-01-16,natation,27.74,min,72.3,278.2
136,1003,2025-01-17,natation,63.0,min,72.3,656.0
137,1003,2025-01-18,natation,19.15,min,72.3,202.5
138,1003,2025-01-19,course,78.64,min,72.3,974.7
139,1003,2025-01-20,natation,44.47,min,72.3,388.5
140,1003,2025-01-21,velo,58.199999999999996,min,72.3,563.4
141,1003,2025-01-22,velo,23.75,min,72.3,235.3
142,1003,2025-01-23,course,54.48,min,72.3,580.5
143,1003,2025-01-24,natation,58.06,min,72.3,674.4
144,1003,2025-01-25,velo,46.82,min,72.3,449.9
145,1003,2025-01-26,course,45.04,min,72.3,577.4
146,1003,2025-01-27,course,66.63,min,72.3,784.6
147,1003,2025-01-28,velo,39.95,min,72.3,402.4
148,1003,2025-01-29,course,39.53,min,72.3,383.2
149,1003,2025-01-30,course,37.49,min,72.3,487.3
150,1003,2025-01-31,velo,55.16,min,72.3,473.3
151,1003,2025-02-01,velo,50.4,min,72.3,503.3
152,1003,2025-02-02,velo,81.68,min,72.3,668.1
153,1003,2025-02-03,course,42.69,min,72.3,606.2
154,1003,2025-02-04,course,66.68,min,72.3,820.1
155,1003,2025-02-05,course,64.2,min,72.3,899.1
156,1003,2025-02-06,course,67.8,min,72.3,845.5
157,1003,2025-02-07,course,55.2,min,72.3,641.4
158,1003,2025-02-08,velo,43.99,min,72.3,483.3
159,1003,2025-02-09,course,53.98,min,72.3,703.8
160,1003,2025-02-10,natation,57.6,min,72.3,669.6
161,1003,2025-02-11,natation,62.01,min,72.3,604.8
162,1003,2025-02-12,course,42.24,min,72.3,509.4
163,1003,2025-02-13,course,41.05,min,72.3,474.0
164,1003,2025-02-14,velo,43.67,min,72.3,414.4
165,1003,2025-02-15,course,55.35,min,72.3,718.6
166,1003,2025-02-16,natation,49.09,min,72.3,468.8
167,1003,2025-02-17,natation,23.73,min,72.3,211.7
168,1003,2025-02-18,velo,81.86,min,72.3,916.5
169,1003,2025-02-19,velo,30.03,min,72.3,282.5
170,1003,2025-02-20,course,25.19,min,72.3,339.0
171,1003,2025-02-21,course,50.48,min,72.3,664.1
172,1003,2025-02-22,velo,94.80000000000001,min,72.3,1075.7
173,1003,2025-02-23,course,51.0,min,72.3,662.0
174,1003,2025-02-24,course,100.8,min,72.3,1290.1
175,1003,2025-02-25,natation,35.4,min,72.3,291.7
176,1003,2025-02-26,natation,51.16,min,72.3,558.2
177,1003,2025-02-27,course,53.49,min,72.3,626.6
178,1003,2025-02-28,velo,49.91,min,72.3,435.9
179,1003,2025-03-01,course,29.98,min,72.3,434.2
180,1004,2025-01-01,natation,21.61,min,72.6,240.9
181,1004,2025-01-02,velo,56.62,min,72.6,537.5
182,1004,2025-01-03,velo,52.2,min,72.6,492.7
183,1004,2025-01-04,natation,68.05,min,72.6,792.1
184,1004,2025-01-05,velo,50.46,min,72.6,470.4
185,1004,2025-01-06,velo,64.80000000000001,min,72.6,533.2
186,1004,2025-01-07,velo,52.8,min,72.6,396.8
187,1004,2025-01-08,natation,42.599999999999994,min,72.6,435.6
188,1004,2025-01-09,natation,10.0,min,72.6,91.5
189,1004,2025-01-10,velo,34.87,min,72.6,345.8
190,1004,2025-01-11,course,62.86,min,72.6,723.2
191,1004,2025-01-12,velo,49.39,min,72.6,395.9
192,1004,2025-01-13,velo,51.18,min,72.6,578.5
193,1004,2025-01-14,natation,51.42,min,72.6,545.6
194,1004,2025-01-15,course,58.74,min,72.6,723.5
195,1004,2025-01-16,natation,94.2,min,72.6,1004.7
196,1004,2025-01-17,velo,58.74,min,72.6,462.8
197,1004,2025-01-18,course,82.2,min,72.6,1124.9
198,1004,2025-01-19,natation,66.60000000000001,min,72.6,714.3
199,1004,2025-01-20,natation,40.24,min,72.6,402.3
200,1004,2025-01-21,velo,34.92,min,72.6,382.0
201,1004,2025-01-22,course,57.0,min,72.6,746.9
202,1004,2025-01-23,course,49.8,min,72.6,659.9
203,1004,2025-01-24,velo,78.45,min,72.6,630.4
204,1004,2025-01-25,course,59.57,min,72.6,743.9
205,1004,2025-01-26,course,31.33,min,72.6,422.3
206,1004,2025-01-27,course,44.4,min,72.6,462.2
207,1004,2025-01-28,velo,61.81,min,72.6,549.9
208,1004,2025-01-29,course,102.0,min,72.6,1460.9
209,1004,2025-01-30,course,39.07,min,72.6,557.9
210,1004,2025-01-31,velo,59.44,min,72.6,525.5
211,1004,2025-02-01,natation,24.6,min,72.6,214.4
212,1004,2025-02-02,course,42.14,min,72.6,516.2
213,1004,2025-02-03,course,53.45,min,72.6,673.2
214,1004,2025-02-04,course,49.93,min,72.6,632.8
215,1004,2025-02-05,velo,40.2,min,72.6,394.8
